,order_id,season,girl,su_id,order_type,bill_zip,adventurefuls,dosidos,lemonups,samoas,savannahs,smores,tagalongs,thinmints,toffeetastic,trefoils,donation,grand_total,Median_income_dollars
1096,202147547,2021,85001,631,In-Person Delivery,28078,0,0,0,1,0,0,0,0,0,1,0,2,"101,752"
1097,202241199,2022,49409,692,Shipped,43623,1,0,0,3,0,1,1,1,0,1,0,8,
1098,202130660,2021,19846,649,In-Person Delivery,44147,0,1,1,0,0,0,0,0,0,1,0,3,
1099,201922671,2019,55739,632,Shipped,00987,0,0,0,0,0,0,0,4,0,0,0,4,
1100,202154207,2021,91113,631,Shipped with Donation,29063,0,1,0,1,0,0,1,1,0,1,1,6,
1101,202009609,2020,76677,638,Cookies In Hand,28269,0,1,0,2,0,0,1,0,0,0,0,4,"68,636"
1102,202146790,2021,32310,649,Shipped,89436,0,0,0,2,0,0,2,0,0,0,0,4,
1103,202132848,2021,49409,692,Shipped,70002,0,0,0,4,0,0,0,2,0,0,0,6,
1104,202223112,2022,30919,638,Cookies In Hand,28105,0,0,0,0,0,0,0,0,0,4,0,4,"86,463"
1105,201914529,2019,81766,622,In-Person Delivery,14466,0,0,0,0,0,0,3,3,0,0,0,6,
1106,202113961,2021,34424,692,Cookies In Hand,29715,0,1,0,4,0,1,2,3,0,0,0,11,"86,378"
1108,201922815,2019,33543,691,In-Person Delivery,29732,0,1,0,1,0,0,1,0,0,0,0,3,
1109,201918092,2019,87697,643,In-Person Delivery,29730,0,2,0,2,1,0,0,0,1,0,0,6,
1110,202154119,2021,86093,631,In-Person Delivery,28037,0,3,0,0,0,0,0,2,0,0,0,5,
1111,202235412,2022,92896,683,In-Person Delivery,28205,0,0,2,1,0,0,3,6,0,2,0,14,"56,196"
1112,202223316,2022,10787,637,In-Person Delivery,28204,0,3,0,2,0,0,4,0,0,5,0,14,"70,000"
1113,202230133,2022,67699,681,Shipped,28211,0,0,0,0,0,6,6,0,0,0,0,12,"93,236"
1114,202234749,2022,71141,649,Shipped,35083,1,1,0,0,0,0,0,2,0,0,0,4,
1115,202160582,2021,27149,638,In-Person Delivery with Donation,28270,0,0,1,0,0,1,0,2,0,0,1,5,"103,175"
1116,202141442,2021,29852,631,In-Person Delivery,28078,0,0,0,1,0,0,1,1,0,0,0,3,"101,752"
1117,202146655,2021,24412,631,In-Person Delivery,16640,0,0,2,2,0,1,2,2,0,0,0,9,
1118,201918241,2019,61623,642,Shipped,32765,0,0,0,0,0,1,2,2,0,0,0,5,
1119,202018004,2020,40095,631,In-Person Delivery,28104,0,14,3,40,0,8,31,31,0,6,0,133,"108,599"
1120,202005344,2020,25179,681,Cookies In Hand,28216,0,0,1,0,0,0,0,1,1,1,0,4,
1121,202106806,2021,287360,691,Cookies In Hand,29732,0,0,0,0,0,0,0,4,0,0,0,4,"67,037"
1122,201905817,2019,95261,632,In-Person Delivery,28214,0,24,0,0,0,0,0,24,0,24,0,72,
1123,202149233,2021,17529,632,In-Person Delivery,28216,0,2,0,0,0,1,0,1,0,2,0,6,"50,347"
1124,201909848,2019,13127,642,Shipped,02050,0,1,0,0,1,1,1,0,0,1,0,5,
1125,202110101,2021,800360,638,Cookies In Hand,28227,0,0,0,1,0,0,2,2,0,0,0,5,"63,529"
1126,202257316,2022,65928,643,In-Person Delivery,28079,1,0,0,1,0,1,1,0,0,0,0,4,"84,301"
1127,202247500,2022,71220,681,In-Person Delivery,28277,0,0,0,4,0,0,4,4,0,2,0,14,"105,672"
1128,202025471,2020,51546,622,Cookies In Hand,28211,0,0,0,0,0,0,1,0,0,1,0,2,"93,236"
1129,202017025,2020,36321,671,In-Person Delivery,76549,0,0,0,0,0,0,2,2,0,0,0,4,
1130,201910273,2019,25471,631,Shipped,30309,0,2,0,2,2,2,6,6,2,2,0,24,
1131,202148174,2021,33592,631,In-Person Delivery,28273,0,0,0,4,0,0,1,0,0,0,0,5,"72,986"
1132,202237265,2022,12228,681,In-Person Delivery,28110,0,1,2,0,0,0,0,0,1,2,0,6,"69,351"
1133,202158896,2021,66832,631,In-Person Delivery,28031,0,0,1,0,0,0,0,0,0,0,0,1,"89,658"
1134,202129782,2021,72035,681,Shipped,15501,0,1,1,1,0,2,1,1,0,1,0,8,
1135,202107753,2021,532360,642,Cookies In Hand,28277,0,0,1,0,0,1,0,8,0,2,0,12,"105,672"
1136,201900591,2019,36202,634,Cookies In Hand,28269,0,1,0,0,0,0,0,0,0,0,0,1,
1137,202144285,2021,-2147483648,700,In-Person Delivery,28211,0,0,1,0,0,1,0,0,0,1,0,3,"93,236"
1138,202241506,2022,23962,638,In-Person Delivery,28226,1,0,0,0,0,1,0,3,0,0,0,5,"103,103"
1139,202024228,2020,3174,637,In-Person Delivery,28270,0,0,0,1,0,0,0,1,0,0,0,2,"103,175"
